Genesis,"Gen, Ge, Gn, Gen., Ge., Gn."
Exodus,"Exod, Ex, Exod., Ex."
Leviticus,"Lev, Lv, Le, Lev., Lv., Le."
Numbers,"Num,  Nm, Nu, Num., Nm., Nu."
Deuteronomy,"Deut,  Dt, De, Du, Deut., Dt., De., Du."
Joshua,"Josh,  Jos, Jo, Josh., Jos., Jo."
Judges,"Judg,  Jdg, Jgs, Judg., Jdg., Jgs."
Ruth,"Ruth,  Ru, Ruth., Ru."
1 Samuel,"1 Sam,  1Sm, 1Sa, 1 Sam., 1Sm., 1Sa."
2 Samuel,"2 Sam,  2Sm, 2Sa, 2 Sam., 2Sm., 2Sa."
1 Kings,"1 Kgs,  1Kg, 1Ki, 1 Kgs., 1Kg., 1Ki."
2 Kings,"2 Kgs,  2Kg, 2Ki, 2 Kgs., 2Kg., 2Ki."
1 Chronicles,"1 Chr,  1 Chron, 1Ch, 1 Chr., 1 Chron., 1Ch."
2 Chronicles,"2 Chr,  2 Chron, 2Ch, 2 Chr., 2 Chron., 2Ch."
Ezra,"Ezra,  Ezr, Ezra., Ezr."
Nehemiah,"Neh,  Ne, Neh., Ne."
Tobit,"Tob,  Tb, Tob., Tb."
Judith,"Jdt,  Jth, Jdt., Jth."
Esther,"Esth,  Est, Es, Esth., Est., Es."
1 Maccabees,"1 Macc,  1Mc, 1Ma, 1 Macc., 1Mc., 1Ma."
2 Maccabees,"2 Macc,  2Mc, 2Ma, 2 Macc., 2Mc., 2Ma."
Job,"Job,  Jb, Job., Jb."
Psalms,"Ps (pl. Pss), Ps., Pss."
Proverbs,"Prov,  Prv, Pr, Prov., Prv., Pr."
Ecclesiastes,"Eccl,  Eccles, Ec, Eccl., Eccles., Ec."
Qoheleth,"Qoh, Qoh."
Song of Songs,"Song,  SS, So, Sg, Song., SS., So., Sg."
Canticle of Canticles,"Cant, Can, Cant., Can."
Wisdom (of Solomon),"Wis,  Ws, Wis., Ws."
Sirach,"Sir, Sir."
Ecclesiasticus,"Ecclus, Ecclus."
Isaiah,"Isa,  Is, Isa., Is."
Jeremiah,"Jer,  Je, Jer., Je."
Lamentations,"Lam,  La, Lam., La."
Baruch,"Bar,  Ba, Bar., Ba."
Ezekiel,"Ezek,  Ezk, Ez, Ezek., Ezk., Ez."
Daniel,"Dan,  Dn, Da, Dan., Dn., Da."
Hosea,"Hos,  Ho, Hos., Ho."
Joel,"Joel,  Joe, Jl, Joel., Joe., Jl."
Amos,"Amos,  Am, Amos., Am."
Obadiah,"Obad,  Ob, Obad., Ob."
Jonah,"Jonah,  Jon, Jonah., Jon."
Micah,"Mic,  Mi, Mic., Mi."
Nahum,"Nah,  Na, Nah., Na."
Habakkuk,"Hab,  Hb, Hab., Hb."
Zephaniah,"Zeph,  Zep, Zeph., Zep."
Haggai,"Hag,  Hg, Hag., Hg."
Zechariah,"Zech,  Zec, Zech., Zec."
Malachi,"Mal,  Ml, Mal., Ml."
Matthew,"Matt,  Mat, Mt, Matt., Mat., Mt."
Mark,"Mark,  Mar, Mk, Mark., Mar., Mk."
Luke,"Luke,  Lk, Lu, Luke., Lk., Lu."
John,"John,  Jn, Jo, John., Jn., Jo."
Acts of the Apostles,"Acts,  Ac, Acts., Ac."
Romans,"Rom,  Rm, Ro, Rom., Rm., Ro."
1 Corinthians,"1 Cor,  1 Co,1C, 1 Cor., 1 Co., 1C."
2 Corinthians,"2 Cor,  2 Co,2C, 2 Cor., 2 Co., 2C."
Galatians,"Gal,  Ga, Gal., Ga."
Ephesians,"Eph,  Ep, Eph., Ep."
Philippians,"Phil,  Php, Phil., Php."
Colossians,"Col,  Co, Col., Co."
1 Thessalonians,"1 Thess,  1 Thes, 1Th, 1 Thess., 1 Thes., 1Th."
2 Thessalonians,"2 Thess,  2 Thes, 2Th, 2 Thess., 2 Thes., 2Th."
1 Timothy,"1 Tim,  1 Tm, 1 Ti, 1T, 1 Tim., 1 Tm., 1 Ti., 1T."
2 Timothy,"2 Tim,  2 Tm, 2 Ti, 2T, 2 Tim., 2 Tm., 2 Ti., 2T."
Titus,"Titus,  Tit, Ti, Titus., Tit., Ti."
Philemon,"Phlm,  Philem, Phm, Phlm., Philem., Phm."
Hebrews,"Heb,  He, Heb., He."
James,"Jas,  Ja, Jas., Ja."
1 Peter,"1 Pet,  1 Pt, 1P, 1 Pet., 1 Pt., 1P."
2 Peter,"2 Pet,  2 Pt, 2P, 2 Pet., 2 Pt., 2P."
1 John,"1 John,  1 Jn, 1 Jo, 1J, 1 John., 1 Jn., 1 Jo., 1J."
2 John,"2 John,  2 Jn, 2 Jo, 2J, 2 John., 2 Jn., 2 Jo., 2J."
3 John,"3 John,  3 Jn, 3 Jo, 3J, 3 John., 3 Jn., 3 Jo., 3J."
Jude,"Jude,  Ju, Jude., Ju."
Revelation (to John),"Rev,  Re, Rv, Rev., Re., Rv."
Apocalypse,"Apoc,  Ap, Apoc., Ap."
